Year/Month,總計,桃園國際機場,高雄國際機場,臺北松山機場,花蓮機場,臺東機場,澎湖機場,臺中機場,臺南機場,嘉義機場,七美機場,望安機場,蘭嶼機場,綠島機場,金門機場,北竿機場,屏東機場,南竿機場,恆春機場
2008/12,2497633,1622684,265124,203669,25135,26457,87349,79618,13628,6043,1931,211,2458,2738,139350,4197,375,16588,78
2009/01,2894048,1867955,290241,257841,23774,30953,120638,79579,16540,8052,2711,337,3846,2915,166097,6895,582,15002,90
2009/02,2479825,1635400,254673,199167,20152,25734,94183,68821,14339,6657,1996,237,4185,2550,138479,4826,343,7975,108
2009/03,2843581,1883748,300633,222156,21857,28425,107578,81339,15234,6198,1709,223,3919,2689,150701,5418,387,11256,111
2009/04,3162365,2033524,348885,257968,20394,30471,138394,91791,16266,7534,2146,248,5388,2801,187558,3872,373,14627,125
2009/05,3046541,1865535,321065,292564,21697,33758,181518,94026,16148,7371,2440,281,6756,2809,177891,6595,401,15379,307
2009/06,2689215,1663800,271511,253688,17837,31217,162630,81125,14851,7835,2003,273,6816,2579,152667,6361,218,13526,278
2009/07,3439459,2048436,363304,341928,20253,37607,238408,107994,22422,11561,2405,340,7884,2556,202800,7553,413,23289,306
2009/08,3524092,2238209,364234,309949,20180,41313,202222,98678,19184,9777,2108,209,6031,2649,182417,6350,247,19996,339
2009/09,2816565,1855643,264041,232471,21073,32744,141667,77776,14964,7827,2086,226,5010,2341,136497,5382,240,16460,117
2009/10,2989981,1987378,287760,244675,21395,29342,117382,82469,15397,6872,2121,212,3535,2477,167506,5841,274,15205,140
2009/11,3020047,2041838,294200,241963,23128,29274,97685,73933,15470,7095,1975,162,3449,2848,164387,6816,321,15449,54
2009/12,3152875,2171623,300566,236696,23088,30689,100500,77263,15645,6979,2906,258,3330,2959,159694,4850,243,15525,61
2010/01,3014398,2106653,283773,214118,18617,27746,95596,70527,14882,6944,1797,206,3517,2811,150156,6029,310,10679,37
2010/02,3232205,2172090,326359,251329,20994,32025,130297,81682,17186,8157,2592,293,4855,2873,163997,5438,356,11510,172
2010/03,3302799,2272631,326200,241466,21798,30958,114583,82632,17131,7448,1905,247,4635,2994,161726,5949,285,10124,87
2010/04,3450351,2246508,348982,286677,20323,33802,154766,107082,18842,8054,2054,276,6194,2660,197877,5766,297,10102,89
2010/05,3562410,2264718,356406,311368,22098,35995,193649,119201,18721,7838,1891,209,6789,2657,203943,6836,259,9694,138
2010/06,3526206,2265590,357118,307384,25176,36487,187677,113462,17455,7170,2526,236,7793,2552,179526,7460,252,8155,187
2010/07,4042948,2469340,411020,401279,22351,42343,264516,145259,25201,11886,2186,272,8393,2705,206090,8847,416,20388,456
2010/08,3841451,2409577,387357,363742,23076,41427,222445,135265,21639,11544,2242,248,8350,2758,184072,6616,443,20235,415
2010/09,3231442,2128488,308933,287510,18822,31176,148570,104201,14282,6465,1650,199,6388,2281,148493,7228,124,16405,227
2010/10,3345409,2210914,321633,295210,21685,33528,121635,111498,16331,6872,1932,205,4979,2546,170598,7912,277,17531,123
2010/11,3275119,2074727,320437,384533,24954,30888,102866,106042,16408,6842,1925,262,3047,2845,176354,5746,189,16945,109
2010/12,3266043,2128250,305090,368225,22804,31663,101526,106875,15237,6113,1938,204,3622,2948,151791,5077,344,14233,103
2011/01,3159393,2085528,286292,360266,18145,32166,99034,88806,15747,6747,1934,128,3686,3030,137456,6654,393,13362,19
2011/02,3162319,1988613,304002,366314,18994,33301,130574,100267,18659,8661,2224,188,4956,2707,163982,5498,428,12649,302
2011/03,3184208,2065918,302503,354286,17641,31699,111518,100699,15888,6811,1985,185,4180,2984,149494,3937,236,14157,87
2011/04,3518775,2144617,350894,404925,21032,37216,165887,131255,20533,7978,1942,216,7025,2610,200343,6773,390,14852,287
2011/05,3579601,2120332,348344,455216,21152,36752,216098,132231,19902,8251,1726,200,6932,2496,193060,7569,283,8831,226
2011/06,3810555,2263456,363657,497829,22406,38224,238548,125948,21906,9764,2074,117,7855,2408,191523,7422,267,16791,360
2011/07,4313170,2462481,425453,583339,25091,46169,287918,164213,26872,12430,2524,298,8840,2759,233489,9435,317,21216,326
2011/08,4000458,2439318,376052,501491,23248,40435,217529,139199,20168,10407,1978,198,8064,2696,191550,7274,107,20411,333
2011/09,3570425,2131451,333655,465460,20042,38572,194361,124663,19579,7827,2285,256,7523,2773,194037,8310,0,19333,298
2011/10,3618251,2236372,326412,453805,19954,36622,137583,122439,19331,7235,2055,178,6730,2985,219654,7249,0,19520,127
2011/11,3480528,2194657,321511,426102,22230,32885,110063,114368,19533,6979,1918,151,4020,2771,203861,6003,0,13417,59
2011/12,3457846,2280813,312205,389942,20816,32656,100591,106164,16609,6776,2372,178,3191,3047,163919,4173,0,14370,24
